Rank,Release Group,Worldwide,Domestic,Foreign,Year,Domestic %,Foreign %
1,Avengers: Endgame,2797800564,858373000,1939427564,2019,0.306802783245132,0.693197216754868
2,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,1131561399,2015,0.4528824707980417,0.5471175292019583
3,Avengers: Infinity War,2048359754,678815482,1369544272,2018,0.3313946589091205,0.6686053410908794
4,Jurassic World,1670400637,652270625,1018130012,2015,0.39048753368022093,0.6095124663197791
5,The Lion King,1656943394,543638043,1113305351,2019,0.32809693135479556,0.6719030686452044
6,The Avengers,1518812988,623357910,895455078,2012,0.41042440045291473,0.5895755995470853
7,Furious 7,1515047671,353007020,1162040651,2015,0.23300060239490641,0.7669993976050936
8,Frozen II,1450026933,477373578,972653355,2019,0.329217042205105,0.6707829577948949
9,Avengers: Age of Ultron,1402805868,459005868,943800000,2015,0.3272055517235689,0.6727944482764311
10,Black Panther,1346913161,700059566,646853595,2018,0.5197510769589992,0.4802489230410007
11,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,960500000,2011,0.2840164238686102,0.7159835761313897
12,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,712358507,2017,0.465412995978239,0.5345870040217611
13,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018,0.3192434036427567,0.6807565963572433
14,Frozen,1280802282,400738009,880064273,2013,0.31288046143565507,0.6871195385643449
15,Beauty and the Beast,1263521126,504014165,759506961,2017,0.3988965080430321,0.6011034919569679
16,Incredibles 2,1242805359,608581744,634223615,2018,0.48968387494698595,0.510316125053014
17,The Fate of the Furious,1236005118,226008385,1009996733,2017,0.1828539232634472,0.8171460767365528
18,Iron Man 3,1214811252,409013994,805797258,2013,0.33668933616363966,0.6633106638363603
19,Minions,1159398397,336045770,823352627,2015,0.28984494964762314,0.7101550503523768
20,Captain America: Civil War,1153296293,408084349,745211944,2016,0.35384172434862754,0.6461582756513724
21,Aquaman,1148461807,335061807,813400000,2018,0.2917483236776023,0.7082516763223977
22,The Lord of the Rings: The Return of the King,1140444782,377027325,763417457,2003,0.3305967381768423,0.6694032618231577
23,Spider-Man: Far from Home,1131927996,390532085,741395911,2019,0.345014953583673,0.654985046416327
24,Captain Marvel,1128274794,426829839,701444955,2019,0.3783030882811692,0.6216969117188308
25,Transformers: Dark of the Moon,1123794079,352390543,771403536,2011,0.3135721655639725,0.6864278344360275
26,Skyfall,1108561013,304360277,804200736,2012,0.2745543758356943,0.7254456241643057
27,Transformers: Age of Extinction,1104054072,245439076,858614996,2014,0.22230711540729683,0.7776928845927031
28,The Dark Knight Rises,1081041287,448139099,632902188,2012,0.4145439257399981,0.5854560742600019
29,Joker,1074251311,335451311,738800000,2019,0.3122652097931673,0.6877347902068327
30,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019,0.4796399952420543,0.5203600047579457
31,Toy Story 4,1073394593,434038008,639356585,2019,0.4043601587249657,0.5956398412750342
32,Toy Story 3,1066969703,415004880,651964823,2010,0.3889565737744289,0.6110434262255711
33,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016,0.5039284682810948,0.49607153171890517
34,Aladdin,1050693953,355559216,695134737,2019,0.3384041708670612,0.6615958291329388
35,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,804642000,2011,0.23053325062644625,0.7694667493735537
36,Despicable Me 3,1034799409,264624300,770175109,2017,0.2557252136969475,0.7442747863030524
37,Finding Dory,1028570889,486295561,542275328,2016,0.47278759898871686,0.5272124010112832
38,Alice in Wonderland,1025467110,334191110,691276000,2010,0.32589159295416115,0.6741084070458389
39,Zootopia,1023784195,341268248,682515947,2016,0.3333400238709487,0.6666599761290513
40,The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,2012,0.29793756633113405,0.7020624336688659
41,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,680553613,2010,0.30309484418283916,0.6969051558171608
42,Harry Potter and the Sorcerer's Stone,974755371,317575550,657179821,2001,0.32580025660612644,0.6741997433938736
43,Despicable Me 2,970766005,368065385,602700620,2013,0.3791494377679614,0.6208505622320386
44,The Jungle Book,966550600,364001123,602549477,2016,0.3765981036067848,0.6234018963932152
45,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017,0.42046036900231326,0.5795396309976868
46,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013,0.2695907664711547,0.7304092335288452
47,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014,0.26685617934092387,0.7331438206590761
48,The Lord of the Rings: The Two Towers,936689735,339789881,596899854,2002,0.36275606351125433,0.6372439364887457
49,Shrek 2,928760770,441226247,487534523,2004,0.47506985787093486,0.5249301421290652
50,Bohemian Rhapsody,903655259,216428042,687227217,2018,0.23950288546929155,0.7604971145307085
51,Harry Potter and the Goblet of Fire,895921036,290013036,605908000,2005,0.3237037912345659,0.6762962087654341
52,The Lord of the Rings: The Fellowship of the Ring,883726270,313364114,570362156,2001,0.35459409167501604,0.6454059083249839
53,Spectre,880674609,200074609,680600000,2015,0.22718335121207064,0.7728166487879293
54,Spider-Man: Homecoming,880166924,334201140,545965784,2017,0.37970199843592395,0.620298001564076
55,Harry Potter and the Chamber of Secrets,878979634,261988482,616991152,2002,0.2980597864455185,0.7019402135544816
56,Ice Age: Continental Drift,877244782,161321843,715922939,2012,0.18389604168657225,0.8161039583134277
57,The Secret Life of Pets,875457937,368384330,507073607,2016,0.42079043941548044,0.5792095605845196
58,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016,0.3781444477724682,0.6218555522275317
59,Finding Nemo,871014978,339714978,531300000,2003,0.3900219704373442,0.6099780295626558
60,Wolf Warrior 2,870325439,2721100,867604339,2017,0.003126531614572282,0.9968734683854277
61,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,488081953,2005,0.437921885250913,0.562078114749087
62,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013,0.490939052520103,0.5090609474798969
63,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017,0.4512999944240043,0.5487000055759956
64,Inside Out,857611174,356461711,501149463,2015,0.4156449004009829,0.5843550995990171
65,Venom,856085151,213515506,642569645,2018,0.24940919224050412,0.7505908077594958
66,Thor: Ragnarok,853977126,315058289,538918837,2017,0.36893059475225337,0.6310694052477467
67,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,2012,0.35230594436023266,0.6476940556397673
68,Inception,828322032,292576195,535745837,2010,0.35321551727118616,0.6467844827288138
69,Wonder Woman,821847012,412563408,409283604,2017,0.501995385973369,0.49800461402663104
70,Spider-Man,821708551,403706375,418002176,2002,0.4913011730359856,0.5086988269640144
71,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,2016,0.287502177034027,0.7124978229659731
72,Coco,807082196,209726015,597356181,2017,0.2598570703695711,0.7401429296304288
73,Jumanji: The Next Level,796575993,316831246,479744747,2019,0.3977413941471872,0.6022586058528129
74,Harry Potter and the Prisoner of Azkaban,795634069,249541069,546093000,2004,0.31363798852107727,0.6863620114789227
75,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017,0.21709293024593404,0.782907069754066
76,Mission: Impossible - Fallout,791115104,220159104,570956000,2018,0.27828959766643513,0.7217104023335649
77,Spider-Man 2,788976453,373585825,415390628,2004,0.47350693874256855,0.5264930612574314
78,Fast & Furious 6,788679850,238679850,550000000,2013,0.30263211365169274,0.6973678863483073
79,Deadpool,782612155,363070709,419541446,2016,0.463921633059737,0.536078366940263
80,Guardians of the Galaxy,772776600,333176600,439600000,2014,0.4311421955581988,0.5688578044418011
81,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019,0.22917508157671992,0.77082491842328
82,Maleficent,758410378,241410378,517000000,2014,0.31831101604466705,0.681688983955333
83,The Amazing Spider-Man,757930663,262030663,495900000,2012,0.34571851462354675,0.6542814853764533
84,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014,0.44632672231596815,0.5536732776840319
85,Shrek Forever After,752600867,238736787,513864080,2010,0.31721566831519477,0.6827843316848052
86,Madagascar 3: Europe's Most Wanted,746921274,216391482,530529792,2012,0.2897112313338661,0.7102887686661339
87,Suicide Squad,746846894,325100054,421746840,2016,0.43529678788488074,0.5647032121151193
88,X-Men: Days of Future Past,746045700,233921534,512124166,2014,0.3135485319465014,0.6864514680534985
89,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,453302158,2005,0.39155143866158654,0.6084485613384135
90,Monsters University,743559607,268492764,475066843,2013,0.3610911102114238,0.6389088897885762
91,The Matrix Reloaded,739412035,281576461,457835574,2003,0.3808113036731949,0.6191886963268052
92,Deadpool 2,734546611,318491426,416055185,2018,0.43358912998919275,0.5664108700108073
93,Ne Zha,726063471,3695533,722367938,2019,0.005089820859476899,0.9949101791405232
94,Gravity,723192705,274092705,449100000,2013,0.37900369169238235,0.6209963083076177
95,Captain America: The Winter Soldier,714421503,259766572,454654931,2014,0.3636040781376089,0.6363959218623911
96,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,430918723,2011,0.394952008089077,0.6050479919109231
97,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014,0.29345976734028806,0.7065402326597119
98,The Amazing Spider-Man 2,708982323,202853933,506128390,2014,0.28611987410580336,0.7138801258941967
99,It,700381748,327481748,372900000,2017,0.4675760739555994,0.5324239260444006
100,The Wandering Earth,699856699,5971413,693885286,2019,0.008532336703402763,0.9914676632965972
101,The Twilight Saga: Eclipse,698491347,300531751,397959596,2010,0.4302583736946422,0.5697416263053579
102,Mission: Impossible - Ghost Protocol,694713380,209397903,485315477,2011,0.3014162516921727,0.6985837483078273
103,The Hunger Games,694394724,408010692,286384032,2012,0.5875774655223331,0.4124225344776669
104,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015,0.2856866868434727,0.7143133131565274
105,Doctor Strange,677718395,232641920,445076475,2016,0.3432722524817996,0.6567277475182004
106,Interstellar,677463813,188020017,489443796,2014,0.2775351441538915,0.7224648558461085
107,Man of Steel,668045518,291045518,377000000,2013,0.4356671965577052,0.5643328034422948
108,Kung Fu Panda 2,665692281,165249063,500443218,2011,0.24823641150196843,0.7517635884980316
109,The Hunger Games: Mockingjay - Part 2,658344137,281723902,376620235,2015,0.4279280184430351,0.5720719815569649
110,Justice League,657924295,229024295,428900000,2017,0.3481012887660578,0.6518987112339422
111,Big Hero 6,657827828,222527828,435300000,2014,0.33827670178769026,0.6617232982123098
112,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018,0.24365039813545178,0.7563496018645482
113,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,348850097,2003,0.4668053125312111,0.5331946874687888
114,Star Wars: Episode II - Attack of the Clones,645256452,302191252,343065200,2002,0.4683273620331037,0.5316726379668963
115,Thor: The Dark World,644783140,206362140,438421000,2013,0.32004890822672566,0.6799510917732744
116,Moana,643331111,248757044,394574067,2016,0.38667031602642327,0.6133296839735767
117,Sing,634151679,270395425,363756254,2016,0.42638919670825315,0.5736108032917469
118,The Incredibles,631442092,261441092,370001000,2004,0.4140381126192012,0.5859618873807988
119,The Martian,630161890,228433663,401728227,2015,0.36249996488997455,0.6375000351100255
120,Fast Five,626137675,209837675,416300000,2011,0.33513024911014977,0.6648697508898502
121,Men in Black 3,624026776,179020854,445005922,2012,0.2868800841328001,0.7131199158671999
122,Iron Man 2,623933331,312433331,311500000,2010,0.5007479412892594,0.4992520587107407
123,Ant-Man and the Wasp,622674139,216648740,406025399,2018,0.3479327732285988,0.6520672267714012
124,How to Train Your Dragon 2,621537519,177002924,444534595,2014,0.2847823640393944,0.7152176359606056
125,Logan,619021436,226277068,392744368,2017,0.36553995522701094,0.6344600447729891
126,The Passion of the Christ,611486736,370274604,241212132,2004,0.6055317019991747,0.39446829800082533
127,Life of Pi,609016565,124987023,484029542,2012,0.20522762463776334,0.7947723753622367
128,Transformers: The Last Knight,605425157,130168683,475256474,2017,0.21500375644284633,0.7849962435571537
129,War of the Worlds,603873119,234280354,369592765,2005,0.38796287933459084,0.6120371206654092
130,Tangled,592461732,200821936,391639796,2010,0.33896186901738995,0.66103813098261
131,The Croods,587204668,187168425,400036243,2013,0.3187447838885368,0.6812552161114632
132,The Hangover Part II,586764305,254464305,332300000,2011,0.43367379854505633,0.5663262014549436
133,Ready Player One,582890172,137690172,445200000,2018,0.23621975221774713,0.7637802477822528
134,Operation Red Sea,579330426,1543547,577786879,2018,0.0026643637736368433,0.9973356362263631
135,Fifty Shades of Grey,569651467,166167230,403484237,2015,0.2916998193212763,0.7083001806787237
136,Kong: Skull Island,566652812,168052812,398600000,2017,0.29657103686975084,0.7034289631302492
137,The Smurfs,563749323,142614158,421135165,2011,0.2529744199799243,0.7470255800200757
138,King Kong,562363449,218080025,344283424,2005,0.38779196156469975,0.6122080384353003
139,Cars 2,559852396,191452396,368400000,2011,0.3419694143811434,0.6580305856188566
140,Puss in Boots,554987477,149260504,405726973,2011,0.26894391348581725,0.7310560865141827
141,The Mermaid,553810228,3232685,550577543,2016,0.005837170995693492,0.9941628290043065
142,The Day After Tomorrow,552639571,186740799,365898772,2004,0.3379070352528194,0.6620929647471806
143,Ted,549368315,218815487,330552828,2012,0.398303799155217,0.6016962008447829
144,American Sniper,547426372,350126372,197300000,2014,0.639586234621521,0.3604137653784791
145,Mission: Impossible II,546388108,215409889,330978219,2000,0.3942433699527004,0.6057566300472996
146,Detective Chinatown 2,544185156,1983984,542201172,2018,0.0036457885301083076,0.9963542114698917
147,X-Men: Apocalypse,543934105,155442489,388491616,2016,0.285774485495812,0.7142255145041879
148,Sherlock Holmes: A Game of Shadows,543848418,186848418,357000000,2011,0.3435670893134785,0.6564329106865214
149,Despicable Me,543113985,251513985,291600000,2010,0.4630961307321151,0.5369038692678849
150,Cinderella,542351353,201151353,341200000,2015,0.3708875286976559,0.6291124713023442
151,Madagascar,542063846,193595521,348468325,2005,0.35714523746341126,0.6428547625365887
152,World War Z,540007876,202359711,337648165,2013,0.37473473997997764,0.6252652600200224
153,Brave,538983207,237283207,301700000,2012,0.4402423005360907,0.5597576994639093
154,The Revenant,532950503,183637894,349312609,2015,0.34456838480552104,0.6554316151944789
155,The Meg,530243742,145443742,384800000,2018,0.2742960085703378,0.7257039914296621
156,Ralph Breaks the Internet,529323962,201091711,328232251,2018,0.3799029052835511,0.6200970947164489
157,"Monsters, Inc.",528773250,255873250,272900000,2001,0.48389976232723575,0.5161002376727643
158,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018,0.31690343941583043,0.6830965605841696
159,The Boss Baby,527965936,175003033,352962903,2017,0.331466522870521,0.6685334771294791
160,Dunkirk,525245546,188045546,337200000,2017,0.3580145465907482,0.6419854534092517
161,Godzilla,524976069,200676069,324300000,2014,0.38225755582013016,0.6177424441798699
162,Meet the Fockers,522657936,279261160,243396776,2004,0.5343096139269183,0.46569038607308166
163,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019,0.3081633912243746,0.6918366087756255
164,Kung Fu Panda 3,521170825,143528619,377642206,2016,0.2753964959569638,0.7246035040430362
165,Ant-Man,519311965,180202163,339109802,2015,0.3470017545234106,0.6529982454765894
166,The Grinch,511595957,270620950,240975007,2018,0.5289739809261237,0.4710260190738763
167,Rio 2,498781117,131538435,367242682,2014,0.2637197570572825,0.7362802429427175
168,Troy,497409852,133378256,364031596,2004,0.268145585504004,0.731854414495996
169,How to Train Your Dragon,494878759,217581231,277297528,2010,0.4396657303289107,0.5603342696710892
170,Oz The Great and Powerful,493311825,234911825,258400000,2013,0.47619337930932426,0.5238066206906757
171,Clash of the Titans,493214993,163214888,330000105,2010,0.33092037005452507,0.6690796299454749
172,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019,0.23169134358178353,0.7683086564182164
173,War for the Planet of the Apes,490719763,146880162,343839601,2017,0.2993157665019495,0.7006842334980505
174,Shrek,487769799,267665011,220104788,2001,0.5487527344840799,0.45124726551592015
175,Mr. & Mrs. Smith,487287646,186336279,300951367,2005,0.38239483502112015,0.6176051649788799
176,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014,0.39423274189184543,0.6057672581081546
177,Bruce Almighty,484592874,242829261,241763613,2003,0.5010995291688916,0.49890047083110844
178,Rio,483866518,143619809,340246709,2011,0.29681700150205476,0.7031829984979453
179,Rise of the Planet of the Apes,481800873,176760185,305040688,2011,0.3668739408863628,0.6331260591136372
180,Charlie and the Chocolate Factory,474968763,206459076,268509687,2005,0.43467927173981336,0.5653207282601866
181,Hotel Transylvania 2,474800000,169700110,305099890,2015,0.3574138795282224,0.6425861204717775
182,San Andreas,473990832,155190832,318800000,2015,0.32741315131597315,0.6725868486840269
183,It Chapter Two,473093228,211593228,261500000,2019,0.44725482310222375,0.5527451768977762
184,Wreck-It Ralph,471222889,189422889,281800000,2012,0.40198151113156133,0.5980184888684387
185,The Lego Movie,468060692,257760692,210300000,2014,0.5506992926464331,0.44930070735356686
186,Bumblebee,467989645,127195589,340794056,2018,0.2717914602576303,0.7282085397423698
187,Star Trek Into Darkness,467365246,228778661,238586585,2013,0.4895072172311246,0.5104927827688753
188,Gladiator,460583960,187705427,272878533,2000,0.4075379155626696,0.5924620844373304
189,Lucy,458863600,126663600,332200000,2014,0.27603758502526676,0.7239624149747332
190,The Last Samurai,454627263,111127263,343500000,2003,0.24443598535356645,0.7555640146464335
191,Ocean's Eleven,450717150,183417150,267300000,2001,0.4069451317749946,0.5930548682250054
192,"My People, My Country",450064993,2356683,447708310,2019,0.005236317057878794,0.9947636829421213
193,Thor,449326618,181030624,268295994,2011,0.40289316668081304,0.597106833319187
194,Pearl Harbor,449220945,198542554,250678391,2001,0.44197083018914,0.55802916981086
195,La La Land,446486224,151101803,295384421,2016,0.3384243340058797,0.6615756659941203
196,Men in Black II,441818803,190418803,251400000,2002,0.43098845433248795,0.569011545667512
197,Les Misérables,441809770,148809770,293000000,2012,0.33681864934765926,0.6631813506523407
198,Terminator Genisys,440603537,89760956,350842581,2015,0.20372273134974855,0.7962772686502514
199,Warcraft,439048914,47365290,391683624,2016,0.10788157877097038,0.8921184212290296
200,A Star Is Born,436188866,215288866,220900000,2018,0.4935679995096436,0.5064320004903564
201,The Greatest Showman,434993183,174340174,260653009,2017,0.4007882900546513,0.5992117099453488
202,Terminator 3: Rise of the Machines,433371112,150371112,283000000,2003,0.34698000821060726,0.6530199917893927
203,The Mummy Returns,433013274,202019785,230993489,2001,0.46654409259518453,0.5334559074048155
204,Pokémon Detective Pikachu,433005346,144105346,288900000,2019,0.3328026947731957,0.6671973052268043
205,Die Another Day,431971116,160942139,271028977,2002,0.37257615854111875,0.6274238414588812
206,The Secret Life of Pets 2,430051293,158874395,271176898,2019,0.36943126921374003,0.63056873078626
207,Cast Away,429632142,233632142,196000000,2000,0.5437957712204875,0.4562042287795125
208,Rampage,428028233,101028233,327000000,2018,0.2360317035441912,0.7639682964558088
209,The Matrix Revolutions,427343298,139313948,288029350,2003,0.32600007687496246,0.6739999231250375
210,The Intouchables,426588510,10198820,416389690,2011,0.023907863810021513,0.9760921361899785
211,Django Unchained,425368238,162805434,262562804,2012,0.38273998727662406,0.6172600127233759
212,The King's Speech,423999102,135453143,288545959,2010,0.3194656365097679,0.6805343634902321
213,Bad Boys for Life,419074646,204417855,214656791,2020,0.48778387562009656,0.5122161243799034
214,The Captain,416953262,706572,416246690,2019,0.001694607200362903,0.9983053927996371
215,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,311299267,2010,0.25111958427045944,0.7488804157295406
216,Jason Bourne,415484914,162434410,253050504,2016,0.39095140287091146,0.6090485971290885
217,The Wolverine,414828246,132556852,282271394,2013,0.3195463502743253,0.6804536497256747
218,Kingsman: The Secret Service,414351546,128261724,286089822,2015,0.3095480763573644,0.6904519236426355
219,Pacific Rim,411002906,101802906,309200000,2013,0.24769388370212642,0.7523061162978736
220,Kingsman: The Golden Circle,410902662,100234838,310667824,2017,0.24393815681826855,0.7560618431817314
221,The Mummy,409231607,80227895,329003712,2017,0.196045206742792,0.803954793257208
222,Ice Age: Collision Course,408579038,64063008,344516030,2016,0.15679465180981703,0.843205348190183
223,Signs,408247917,227966634,180281283,2002,0.5584024425040728,0.44159755749592716
224,X2: X-Men United,407711549,214949694,192761855,2003,0.5272102164562427,0.4727897835437573
225,Alita: Battle Angel,404852543,85710210,319142333,2019,0.21170722892062951,0.7882927710793705
226,Prometheus,403354469,126477084,276877385,2012,0.3135631156227502,0.6864368843772498
227,TRON: Legacy,400062763,172062763,228000000,2010,0.4300894232438224,0.5699105767561776
228,Mission: Impossible III,398479497,134029801,264449696,2005,0.33635306711903423,0.6636469328809658
229,Snow White and the Huntsman,396592829,155332381,241260448,2012,0.39166714484391246,0.6083328551560876
230,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018,0.3053703369967449,0.6946296630032551
231,Solo: A Star Wars Story,392924807,213767512,179157295,2018,0.5440417815106289,0.4559582184893712
232,The Wolf of Wall Street,392000694,116900694,275100000,2013,0.2982155281592435,0.7017844718407565
233,Independence Day: Resurgence,389681935,103144286,286537649,2016,0.26468839516514925,0.7353116048348508
234,Monster Hunt,387053506,32766,387020740,2015,8.465496240718718e-05,0.9999153450375928
235,Godzilla: King of the Monsters,386600138,110500138,276100000,2019,0.2858253971963145,0.7141746028036855
236,Home,386041607,177397510,208644097,2015,0.45952950869360565,0.5404704913063944
237,Cars 3,383930656,152901115,231029541,2017,0.3982519046356121,0.6017480953643879
238,Ice Age,383257136,176387405,206869731,2002,0.4602325395449388,0.5397674604550612
239,Fifty Shades Darker,381545846,114581250,266964596,2017,0.3003079477898444,0.6996920522101556
240,Taken 2,376141306,139854287,236287019,2012,0.3718131584304118,0.6281868415695883
241,G.I. Joe: Retaliation,375740705,122523060,253217645,2013,0.3260840743884802,0.6739159256115198
242,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018,0.5065795628491859,0.49342043715081413
243,Mad Max: Fury Road,374736354,153636354,221100000,2015,0.4099851865453118,0.5900148134546882
244,1917,374717445,159227644,215489801,2019,0.4249272248320331,0.5750727751679668
245,Shark Tale,374583879,160861908,213721971,2004,0.42944162047080514,0.5705583795291949
246,Once Upon a Time... in Hollywood,374343626,142502728,231840898,2019,0.38067357930651663,0.6193264206934834
247,What Women Want,374111707,182811707,191300000,2000,0.4886554031307018,0.5113445968692982
248,The Adventures of Tintin,373993951,77591831,296402120,2011,0.20746814431766036,0.7925318556823396
249,Penguins of Madagascar,373515621,83850911,289664710,2014,0.22449104210289508,0.775508957897105
250,Fifty Shades Freed,371985018,100407760,271577258,2018,0.26992420431298125,0.7300757956870187
251,Batman Begins,371853783,205343774,166510009,2005,0.552216444709398,0.44778355529060193
252,Hitch,371594210,179495555,192098655,2005,0.48304185094810814,0.5169581490518919
253,Captain America: The First Avenger,370569774,176654505,193915269,2011,0.4767105074252494,0.5232894925747505
254,Edge of Tomorrow,370541256,100206256,270335000,2014,0.2704321162013873,0.7295678837986127
255,Gone Girl,369330363,167767189,201563174,2014,0.4542469447604014,0.5457530552395986
256,Jurassic Park III,368780809,181171875,187608934,2001,0.49127251358679025,0.5087274864132098
257,My Big Fat Greek Wedding,368744044,241438208,127305836,2002,0.6547582582784713,0.34524174172152866
258,Shazam!,365971656,140371656,225600000,2019,0.3835588185550632,0.6164411814449369
259,The Nun,365550119,117450119,248100000,2018,0.32129689718415877,0.6787031028158412
260,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,2014,0.313175025973994,0.6868249740260061
261,Ocean's Twelve,362744280,125544280,237200000,2004,0.34609582265501193,0.6539041773449881
262,Planet of the Apes,362211740,180011740,182200000,2001,0.4969793082907804,0.5030206917092196
263,The Hangover Part III,362000072,112200072,249800000,2013,0.3099448886297459,0.6900551113702541
264,Monster Hunt 2,361682618,706153,360976465,2018,0.0019524106629862981,0.9980475893370137
265,Noah,359200044,101200044,258000000,2014,0.28173728174710355,0.7182627182528964
266,The Karate Kid,359126022,176591618,182534404,2010,0.4917260437340294,0.5082739562659706
267,Hotel Transylvania,358375603,148313048,210062555,2011,0.4138480598524448,0.5861519401475552
268,Minority Report,358372926,132072926,226300000,2002,0.3685348875936013,0.6314651124063987
269,Your Name.,357986087,5017246,352968841,2016,0.014015198305737508,0.9859848016942625
270,The Legend of Tarzan,356700357,126643061,230057296,2016,0.3550404660794887,0.6449595339205113
271,The Great Gatsby,353641895,144840419,208801476,2013,0.40956804340164504,0.5904319565983549
272,Dumbo,353284621,114766307,238518314,2019,0.32485508900768145,0.6751449109923185
273,"I, Robot",353133898,144801023,208332875,2004,0.4100456620564928,0.5899543379435072
274,Murder on the Orient Express,352789811,102826543,249963268,2017,0.29146687289106543,0.7085331271089346
275,X-Men: First Class,352616690,146408305,206208385,2011,0.41520526155469273,0.5847947384453073
276,The Angry Birds Movie,352333929,107509366,244824563,2016,0.3051348653964007,0.6948651346035993
277,Catch Me If You Can,352114312,164615351,187498961,2002,0.4675054247723961,0.5324945752276039
278,Now You See Me,351723989,117723989,234000000,2013,0.3347056006464205,0.6652943993535795
279,Hannibal,351692268,165092268,186600000,2001,0.46942251229702897,0.5305774877029711
280,Peter Rabbit,351266433,115253424,236013009,2018,0.3281082767165515,0.6718917232834485
281,Dinosaur,349822765,137748063,212074702,2000,0.39376529140406286,0.6062347085959372
282,Mary Poppins Returns,349537494,171958438,177579056,2018,0.4919599211865952,0.5080400788134047
283,The Lorax,348840316,214030500,134809816,2012,0.6135486358176558,0.3864513641823441
284,The Maze Runner,348319861,102427862,245891999,2014,0.2940626517992323,0.7059373482007677
285,The Smurfs 2,347545360,71017784,276527576,2013,0.2043410506185437,0.7956589493814563
286,National Treasure,347512318,173008894,174503424,2004,0.4978496733459675,0.5021503266540325
287,Rush Hour 2,347325802,226164286,121161516,2001,0.6511588966258257,0.3488411033741743
288,Trolls,346864462,153707064,193157398,2016,0.44313292608223437,0.5568670739177656
289,xXx: Return of Xander Cage,346118277,44898413,301219864,2017,0.12971985585147242,0.8702801441485276
290,How the Grinch Stole Christmas,345141403,260044825,85096578,2000,0.7534443064195344,0.24655569358046564
291,Titanic 2012 3D Release,343550770,57884114,285666656,2012,0.1684878016719334,0.8315121983280667
292,Star Trek Beyond,343471816,158848340,184623476,2016,0.462478528369268,0.537521471630732
293,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,209584693,2011,0.3884228630007867,0.6115771369992133
294,A Quiet Place,340939361,188024361,152915000,2018,0.5514891576276522,0.44851084237234784
295,300: Rise of an Empire,337580051,106580051,231000000,2014,0.31571785916935,0.68428214083065
296,Journey 2: The Mysterious Island,335260290,103860290,231400000,2012,0.30979001420060814,0.6902099857993919
297,The Great Wall,334933831,45540830,289393001,2016,0.13596963276008986,0.8640303672399101
298,Now You See Me 2,334897606,65075540,269822066,2016,0.19431473630778956,0.8056852636922105
299,Fantastic Four,333535934,154696080,178839854,2005,0.46380633758040596,0.5361936624195941
300,The Good Dinosaur,332207671,123087120,209120551,2015,0.3705125761530052,0.6294874238469947
301,22 Jump Street,331333876,191719337,139614539,2014,0.5786288420445123,0.4213711579554878
302,Meet the Parents,330444045,166244045,164200000,2000,0.5030928761327806,0.49690712386721936
303,Black Swan,329398046,106954678,222443368,2010,0.32469736629828094,0.6753026337017191
304,The Perfect Storm,328718434,182618434,146100000,2000,0.5555466779815579,0.44445332201844207
305,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,2019,0.5234484096030603,0.47655159039693973
306,Taken 3,326479141,89256424,237222717,2015,0.27339089329446625,0.7266091067055338
307,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,2015,0.5012331894993571,0.4987668105006429
