Rank,Release Group,Worldwide,Domestic,Foreign,Year,Domestic %,Foreign %
2559,Battle of the Year,16549477,8888355,7661122,2013,0.5370776973798024,0.4629223026201976
2560,"Tomorrow, When the War Began",16533595,4936,16528659,2010,0.00029854366216179845,0.9997014563378382
2561,Silent House,16527747,12754783,3772964,2012,0.7717194001094039,0.2282805998905961
2562,Pride and Prejudice and Zombies,16457494,10938134,5519360,2016,0.6646293779599738,0.33537062204002627
2563,They,16446271,12840842,3605429,2002,0.7807752894257914,0.2192247105742086
2564,The Powerpuff Girls Movie,16426471,11412414,5014057,2002,0.6947575045181646,0.3052424954818354
2565,Poms,16418218,13631124,2787094,2019,0.8302438181780751,0.1697561818219249
2566,Forever My Girl,16376066,16376066,0,2018,1.0,0.0
2567,Before I Fall,16373843,12241122,4132721,2017,0.7476022580648904,0.25239774193510955
2568,The Magdalene Sisters,16373112,306989,16066123,2002,0.018749581631152343,0.9812504183688476
2569,The Single Moms Club,16365451,15973881,391570,2014,0.9760733755519478,0.02392662444805218
2570,Little Q,16360233,1652,16358581,2019,0.0001009765569964682,0.9998990234430035
2571,Italian for Beginners,16349568,4544753,11804815,2000,0.27797388897370257,0.7220261110262974
2572,Playmobil: The Movie,16349303,1115008,15234295,2019,0.068199115277269,0.931800884722731
2573,Macbeth,16322067,1110707,15211360,2015,0.06804940820301743,0.9319505917969826
2574,The Emperor's Club,16318449,14118751,2199698,2002,0.865201772545908,0.13479822745409198
2575,Rabbit-Proof Fence,16217411,6199600,10017811,2002,0.38228050087649623,0.6177194991235038
2576,Caché,16197824,3647381,12550443,2005,0.22517722133540902,0.774822778664591
2577,Gangnam 1970,16191434,18022,16173412,2015,0.0011130576822287637,0.9988869423177712
2578,In the House,16190771,389757,15801014,2012,0.024072788133437252,0.9759272118665627
2579,Just Visiting,16176732,4781539,11395193,2001,0.2955812706793931,0.7044187293206069
2580,Birthday Girl,16171098,5142576,11028522,2002,0.31801031692467635,0.6819896830753236
2581,Iris,16153953,5594617,10559336,2001,0.3463311426002044,0.6536688573997956
2582,Scouts Guide to the Zombie Apocalypse,16137046,3703046,12434000,2015,0.22947483696830262,0.7705251630316974
2583,The Space Between Us,16080475,7885294,8195181,2017,0.4903644948299102,0.5096355051700898
2584,To Be and to Have,16063920,777129,15286791,2002,0.04837729520565341,0.9516227047943466
2585,Unfriended: Dark Web,16024987,8866745,7158242,2018,0.5533074691417846,0.44669253085821536
2586,Sea Rex 3D: Journey to a Prehistoric World,16004150,6096582,9907568,2010,0.38093756931795814,0.6190624306820418
2587,What the #$*! Do We (K)now!?,15998178,10942306,5055872,2004,0.6839720123129022,0.3160279876870979
2588,The Kitchen,15980032,12180032,3800000,2019,0.762203229630579,0.23779677036942104
2589,The Words,15950164,11494838,4455326,2012,0.7206720883873043,0.27932791161269566
2590,Before Sunset,15936507,5820649,10115858,2004,0.3652399487541404,0.6347600512458595
2591,Drowning Mona,15906764,15506764,400000,2000,0.974853464853065,0.025146535146934976
2592,Wonder Wheel,15889124,1404061,14485063,2017,0.08836616795236792,0.911633832047632
2593,Finding Your Feet,15845593,1418682,14426911,2018,0.08953164453990456,0.9104683554600954
2594,Highlander: Endgame,15843608,12811858,3031750,2000,0.8086452277789251,0.1913547722210749
2595,The Hunt,15812352,613308,15199044,2012,0.03878663971052504,0.961213360289475
2596,"I, Daniel Blake",15793051,260354,15532697,2016,0.01648535169043651,0.9835146483095635
2597,The Great Yokai War,15787492,0,15787492,2005,0.0,1.0
2598,Kiss Kiss Bang Bang,15785148,4243756,11541392,2005,0.26884486607284264,0.7311551339271574
2599,The Gospel,15778152,15778152,0,2005,1.0,0.0
2600,Lantana,15747450,4623189,11124261,2001,0.2935833420649058,0.7064166579350942
2601,I Hate Luv Storys,15719212,847993,14871219,2010,0.053946279240969584,0.9460537207590304
2602,The Brand New Testament,15709652,127910,15581742,2015,0.008142128164264873,0.9918578718357351
2603,Enigma 2001 Re-release,15705007,4301582,11403425,2001,0.27389876362360105,0.7261012363763989
2604,Feng Shui,15702302,64147,15638155,2018,0.004085197189558576,0.9959148028104414
2605,Judy Moody and the Not Bummer Summer,15691640,15013650,677990,2011,0.956792916482917,0.04320708351708298
2606,Out of the Furnace,15660668,11330849,4329819,2013,0.723522713079672,0.276477286920328
2607,Vampire Academy,15642346,7791979,7850367,2014,0.4981336559106927,0.5018663440893073
2608,Tully,15636462,9369755,6266707,2018,0.5992247479001324,0.4007752520998676
2609,The Conspirator,15623183,11538204,4084979,2011,0.7385309382857513,0.2614690617142486
2610,Facing Windows,15530077,543354,14986723,2003,0.03498720579427906,0.965012794205721
2611,Paranoia,15500644,7388654,8111990,2013,0.47666755007082284,0.5233324499291772
2612,With a Friend Like Harry...,15472186,3830441,11641745,2001,0.24756947725421605,0.7524305227457839
2613,Bait,15471969,15325127,146842,2000,0.9905091588536663,0.009490841146333735
2614,Zelary,15461305,330033,15131272,2003,0.02134574022050532,0.9786542597794947
2615,Chronicles of Evil,15460494,105057,15355437,2015,0.006795190373606432,0.9932048096263936
2616,The Greatest Game Ever Played,15431177,15337393,93784,2005,0.9939224337845389,0.006077566215461076
2617,Our Little Sister,15407615,64441,15343174,2015,0.004182412398025262,0.9958175876019747
2618,Anonymous,15395087,4463292,10931795,2011,0.2899166467847827,0.7100833532152173
2619,Miss Bala,15383580,15006824,376756,2019,0.9755092117699521,0.024490788230047883
2620,Alex & Emma,15368897,14218698,1150199,2003,0.9251606019612207,0.07483939803877923
2621,Apollo 11,15342353,9039891,6302462,2019,0.5892115114285273,0.4107884885714727
2622,The Dead Don't Die,15321451,6563605,8757846,2019,0.4283931724221159,0.5716068275778841
2623,Brother,15250594,450594,14800000,2001,0.029545996700194106,0.9704540032998059
2624,Hey Arnold! The Movie,15249308,13728902,1520406,2002,0.9002967216610748,0.09970327833892528
2625,The Negotiation,15229193,110986,15118207,2018,0.0072877138007247004,0.9927122861992753
2626,Attack on Titan Part 2,15186410,305934,14880476,2015,0.020145248284485932,0.9798547517155141
2627,Spectacle,15159762,2065487,13094275,2015,0.13624798331266677,0.8637520166873333
2628,Transamerica,15151744,9015303,6136441,2005,0.5950010111047283,0.40499898889527175
2629,Extraordinary Measures,15134293,12068313,3065980,2010,0.7974150493848638,0.2025849506151361
2630,Irreplaceable,15130912,8494,15122418,2016,0.0005613673518159382,0.9994386326481841
2631,Surviving Christmas,15125687,11663156,3462531,2004,0.7710827283415292,0.22891727165847078
2632,Three,15121228,119550,15001678,2016,0.007906103922247585,0.9920938960777524
2633,The Dreamers,15121165,2532228,12588937,2003,0.1674624937959476,0.8325375062040524
2634,War of the Buttons,15082409,47771,15034638,2011,0.003167332221265184,0.9968326677787348
2635,Ip Man 2,15061802,205675,14856127,2010,0.013655404579080245,0.9863445954209198
2636,The Housemaid,15038301,157961,14880340,2010,0.01050391264279123,0.9894960873572087
2637,Boat Trip,15020293,8600126,6420167,2002,0.5725671263536604,0.42743287364633964
2638,Journey to the South Pacific,14994876,7653913,7340963,2013,0.510435231341693,0.489564768658307
2639,Oldboy,14980005,707481,14272524,2003,0.0472283553977452,0.9527716446022548
2640,Undisputed,14946150,12764657,2181493,2002,0.8540431482354988,0.14595685176450124
2641,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release,14895840,181938,14713902,2018,0.01221401411400767,0.9877859858859923
2642,Blue Valentine,14892418,9706328,5186090,2010,0.651763064936802,0.3482369350631979
2643,Gold,14880939,7227038,7653901,2017,0.4856573903031254,0.5143426096968746
2644,School of Life,14880497,6300,14874197,2017,0.00042337295588984697,0.9995766270441101
2645,Raise Your Voice,14867514,10411980,4455534,2004,0.7003174841469798,0.2996825158530202
2646,Josie and the Pussycats,14866015,14271015,595000,2001,0.9599758240523771,0.040024175947622816
2647,Emperor,14858240,3346265,11511975,2013,0.22521274390506546,0.7747872560949345
