Rank,Release Group,Worldwide,Domestic,%,Foreign,%
58,The Curse of la Llorona,"$123,133,739","$54,733,739",44.5%,"$68,400,000",55.5%
59,Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%
60,Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%
61,Last Christmas,"$121,550,750","$35,150,750",28.9%,"$86,400,000",71.1%
62,Extreme Job,"$119,932,733","$1,565,885",1.3%,"$118,366,848",98.7%
63,Dora and the Lost City of Gold,"$119,682,635","$60,477,943",50.5%,"$59,204,692",49.5%
64,Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%
65,P Storm,"$117,991,727","$326,711",0.3%,"$117,665,016",99.7%
66,Pet Sematary,"$113,118,226","$54,724,696",48.4%,"$58,393,530",51.6%
67,Good Boys,"$111,011,582","$83,140,306",74.9%,"$27,871,276",25.1%
68,Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",65.9%,"$35,598,430",34.1%
69,Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.3%,"$99,185,276",99.7%
70,The Hustle,"$95,031,585","$35,417,038",37.3%,"$59,614,547",62.7%
71,Crawl,"$91,542,097","$39,014,193",42.6%,"$52,527,904",57.4%
72,Five Feet Apart,"$91,522,094","$45,729,221",50%,"$45,792,873",50%
73,Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%
74,Jojo Rabbit,"$90,335,025","$33,370,906",36.9%,"$56,964,119",63.1%
75,One Piece: Stampede,"$81,562,741","$1,298,528",1.6%,"$80,264,213",98.4%
76,A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%
77,Cold Pursuit,"$76,419,755","$32,138,862",42.1%,"$44,280,893",57.9%
78,A Dog's Journey,"$75,670,834","$22,782,371",30.1%,"$52,888,463",69.9%
79,A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%
80,Cats,"$73,736,092","$27,166,770",36.8%,"$46,569,322",63.2%
81,Charlie's Angels,"$73,279,888","$17,803,077",24.3%,"$55,476,811",75.7%
82,Doctor Sleep,"$72,381,712","$31,581,712",43.6%,"$40,800,000",56.4%
83,What Men Want,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%
84,After,"$69,733,482","$12,138,565",17.4%,"$57,594,917",82.6%
85,Exit,"$69,501,772","$470,699",0.7%,"$69,031,073",99.3%
86,Playing with Fire,"$68,631,669","$44,451,847",64.8%,"$24,179,822",35.2%
87,A Beautiful Day in the Neighborhood,"$67,760,877","$61,704,055",91.1%,"$6,056,822",8.9%
88,War,"$67,179,155","$4,654,000",6.9%,"$62,525,155",93.1%
89,Happy Death Day 2U,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%
90,White Snake,"$61,631,776","$34,730",<0.1%,"$61,597,046",99.9%
91,Ma,"$61,105,672","$45,896,028",75.1%,"$15,209,644",24.9%
92,Bombshell,"$59,636,523","$31,762,808",53.3%,"$27,873,715",46.7%
93,Ready or Not,"$57,615,777","$28,714,231",49.8%,"$28,901,546",50.2%
94,Long Shot,"$53,873,809","$30,316,271",56.3%,"$23,557,538",43.7%
95,Breakthrough,"$50,444,358","$40,713,082",80.7%,"$9,731,276",19.3%
96,Just Mercy,"$50,401,502","$36,001,502",71.4%,"$14,400,000",28.6%
97,Uncut Gems,"$50,023,780","$50,023,780",100%,-,-
98,21 Bridges,"$49,939,757","$28,539,757",57.1%,"$21,400,000",42.9%
99,Little,"$48,987,096","$40,860,481",83.4%,"$8,126,615",16.6%
100,Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-
101,Countdown,"$48,021,766","$25,621,766",53.4%,"$22,400,000",46.6%
102,Midsommar,"$47,863,365","$27,426,361",57.3%,"$20,437,004",42.7%
103,Queen & Slim,"$47,595,818","$43,808,310",92%,"$3,787,508",8%
104,47 Meters Down: Uncaged,"$46,783,103","$22,260,900",47.6%,"$24,522,203",52.4%
105,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.4%,"$45,536,722",99.6%
106,Child's Play,"$44,902,237","$29,208,403",65%,"$15,693,834",35%
107,Hellboy,"$44,664,690","$21,903,748",49%,"$22,760,942",51%
108,Richard Jewell,"$43,745,542","$22,345,542",51.1%,"$21,400,000",48.9%
109,Judy,"$43,613,708","$24,313,888",55.7%,"$19,299,820",44.3%
110,Harriet,"$43,282,155","$43,082,155",99.5%,"$200,000",0.5%
111,The Intruder,"$40,887,246","$35,419,122",86.6%,"$5,468,124",13.4%
112,Fighting with My Family,"$40,810,036","$22,958,886",56.3%,"$17,851,150",43.7%
113,Overcomer,"$38,026,103","$34,746,945",91.4%,"$3,279,158",8.6%
114,Pain and Glory,"$37,137,074","$4,567,338",12.3%,"$32,569,736",87.7%
115,The Bad Guys: The Movie,"$34,024,386","$166,972",0.5%,"$33,857,414",99.5%
116,The Good Liar,"$33,856,058","$17,156,058",50.7%,"$16,700,000",49.3%
117,The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.2%,"$7,371,145",21.8%
118,Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%
119,Brightburn,"$32,893,421","$17,300,439",52.6%,"$15,592,982",47.4%
120,UglyDolls,"$32,450,241","$20,150,241",62.1%,"$12,300,000",37.9%
121,Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%
122,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%
123,Anna,"$31,640,190","$7,743,794",24.5%,"$23,896,396",75.5%
124,The Wild Goose Lake,"$31,037,956","$12,573",<0.1%,"$31,025,383",100%
125,Gully Boy,"$28,141,995","$5,566,534",19.8%,"$22,575,461",80.2%
126,Total Dhamaal,"$26,911,995","$2,167,632",8.1%,"$24,744,363",91.9%
127,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%
128,Missing Link,"$26,249,469","$16,649,539",63.4%,"$9,599,930",36.6%
129,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.8%,"$25,558,877",99.2%
130,Booksmart,"$24,863,452","$22,680,962",91.2%,"$2,182,490",8.8%
131,Super 30,"$24,701,637","$2,269,878",9.2%,"$22,431,759",90.8%
132,The Peanut Butter Falcon,"$23,065,606","$20,457,151",88.7%,"$2,608,455",11.3%
133,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%
134,The Farewell,"$22,517,864","$17,695,781",78.6%,"$4,822,083",21.4%
135,Late Night,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%
136,Dark Waters,"$21,570,073","$11,136,084",51.6%,"$10,433,989",48.4%
137,Shaft,"$21,360,215","$21,360,215",100%,-,-
138,Hotel Mumbai,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%
139,Unplanned,"$21,051,915","$19,005,109",90.3%,"$2,046,806",9.7%
140,Always Miss You,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%
141,Greta,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%
142,Peppa Celebrates Chinese New Year,"$18,653,040","$131,225",0.7%,"$18,521,815",99.3%
143,Black Christmas,"$18,529,730","$10,429,730",56.3%,"$8,100,000",43.7%
144,Motherless Brooklyn,"$18,477,736","$9,277,736",50.2%,"$9,200,000",49.8%
145,The Lighthouse,"$18,063,334","$10,867,104",60.2%,"$7,196,230",39.8%
146,Blinded by the Light,"$18,019,198","$11,901,145",66%,"$6,118,053",34%
147,Kalank,"$17,987,034","$2,729,336",15.2%,"$15,257,698",84.8%
148,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864","$420,595",2.4%,"$16,875,269",97.6%
149,Nothing to Lose 2,"$16,610,713","$1,150,551",6.9%,"$15,460,162",93.1%
150,Tazza: One-Eyed Jack,"$16,572,611","$97,655",0.6%,"$16,474,956",99.4%
151,Poms,"$16,418,218","$13,631,124",83%,"$2,787,094",17%
152,Little Q,"$16,360,233","$1,652",<0.1%,"$16,358,581",100%
153,Playmobil: The Movie,"$16,349,303","$1,115,008",6.8%,"$15,234,295",93.2%
154,The Kitchen,"$15,980,032","$12,180,032",76.2%,"$3,800,000",23.8%
155,Miss Bala,"$15,383,580","$15,006,824",97.6%,"$376,756",2.4%
156,Apollo 11,"$15,342,353","$9,039,891",58.9%,"$6,302,462",41.1%
157,The Dead Don't Die,"$15,321,451","$6,563,605",42.8%,"$8,757,846",57.2%
158,Serenity,"$14,454,622","$8,547,045",59.1%,"$5,907,577",40.9%
159,The Current War: Director's Cut,"$12,282,385","$5,979,540",48.7%,"$6,302,845",51.3%
160,Miss & Mrs. Cops,"$12,147,170","$104,578",0.9%,"$12,042,592",99.1%
161,The Divine Fury,"$11,799,556","$102,982",0.9%,"$11,696,574",99.1%
162,Bring The Soul: The Movie,"$11,393,886","$4,809,800",42.2%,"$6,584,086",57.8%
163,Gloria Bell,"$11,145,006","$5,611,123",50.3%,"$5,533,883",49.7%
164,"Where'd You Go, Bernadette","$10,304,189","$9,198,356",89.3%,"$1,105,833",10.7%
165,The Best of Enemies,"$10,209,813","$10,205,616",100%,"$4,197",<0.1%
166,BTS World Tour: Love Yourself in Seoul,"$10,195,760","$3,509,917",34.4%,"$6,685,843",65.6%
167,The Goldfinch,"$9,932,621","$5,332,621",53.7%,"$4,600,000",46.3%
168,Portrait of a Lady on Fire,"$9,921,185","$3,759,854",37.9%,"$6,161,331",62.1%
169,Arctic Dogs,"$9,891,463","$5,801,249",58.6%,"$4,090,214",41.4%
170,Tod@s Caen,"$9,667,157","$2,670,925",27.6%,"$6,996,232",72.4%
171,Official Secrets,"$9,473,603","$1,988,546",21%,"$7,485,057",79%
172,Promare,"$9,465,371","$2,313,596",24.4%,"$7,151,775",75.6%
173,The Aftermath,"$9,215,591","$1,618,497",17.6%,"$7,597,094",82.4%
174,Tolkien,"$9,090,040","$4,535,154",49.9%,"$4,554,886",50.1%
175,Jexi,"$8,952,550","$6,546,159",73.1%,"$2,406,391",26.9%
176,Captive State,"$8,808,611","$5,958,315",67.6%,"$2,850,296",32.4%
177,The Traitor,"$8,756,847","$296,027",3.4%,"$8,460,820",96.6%
178,Sorry We Missed You,"$8,746,534","$28,273",0.3%,"$8,718,261",99.7%
179,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612","$522,805",6%,"$8,192,807",94%
180,Pavarotti,"$7,885,016","$4,600,249",58.3%,"$3,284,767",41.7%
181,The Battle of Jangsari,"$7,883,200","$70,853",0.9%,"$7,812,347",99.1%
182,By the Grace of God,"$7,755,652","$67,059",0.9%,"$7,688,593",99.1%
183,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048","$34,135",0.4%,"$7,698,913",99.6%
184,Penguins,"$7,699,452","$7,699,452",100%,-,-
185,The White Crow,"$7,622,595","$1,828,784",24%,"$5,793,811",76%
186,Brittany Runs a Marathon,"$7,442,106","$7,189,808",96.6%,"$252,298",3.4%
187,Mayday Life,"$7,435,496","$85,912",1.2%,"$7,349,584",98.8%
188,Wild Rose,"$7,123,449","$1,635,117",23%,"$5,488,332",77%
189,The Sun Is Also a Star,"$6,750,029","$4,950,029",73.3%,"$1,800,000",26.7%
190,Fleabag,"$6,572,099","$326,283",5%,"$6,245,816",95%
191,Run the Race,"$6,424,420","$6,424,420",100%,-,-
192,The Mustang,"$6,405,816","$5,043,620",78.7%,"$1,362,196",21.3%
193,Immortal Hero,"$6,180,032","$43,007",0.7%,"$6,137,025",99.3%
194,"Cyrano, My Love","$5,985,822","$351,019",5.9%,"$5,634,803",94.1%
195,Furie,"$5,717,640","$594,788",10.4%,"$5,122,852",89.6%
196,Saaho,"$5,708,522","$2,872,057",50.3%,"$2,836,465",49.7%
197,Mission Mangal,"$5,667,057","$3,659,413",64.6%,"$2,007,644",35.4%
198,Don't Let Go,"$5,288,011","$5,215,062",98.6%,"$72,949",1.4%
199,The Biggest Little Farm,"$5,248,412","$4,366,949",83.2%,"$881,463",16.8%
200,The Truth,"$5,215,649","$2,777",<0.1%,"$5,212,872",99.9%
201,Forrest Gump 2019 Re-release,"$5,140,828","$203,088",4%,"$4,937,740",96%
202,The Professor and the Madman,"$5,105,195",-,-,"$5,105,195",100%
203,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$5,078,942","$1,134,786",22.3%,"$3,944,156",77.7%
204,Menteur,"$4,697,364","$4,697,364",100%,-,-
205,Jay and Silent Bob Reboot,"$4,691,248","$4,589,490",97.8%,"$101,758",2.2%
206,Housefull 4,"$4,624,936","$2,109,160",45.6%,"$2,515,776",54.4%
207,A Hidden Life,"$4,614,219","$1,730,597",37.5%,"$2,883,622",62.5%
208,The Last Black Man in San Francisco,"$4,607,017","$4,515,719",98%,"$91,298",2%
209,The Beach Bum,"$4,554,416","$3,502,600",76.9%,"$1,051,816",23.1%
210,Swift,"$4,428,275",-,-,"$4,428,275",100%
211,Brian Banks,"$4,376,819","$4,376,819",100%,-,-
212,Uri: The Surgical Strike 2019 Re-release,"$4,302,454","$4,186,168",97.3%,"$116,286",2.7%
213,Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",100%,-,-
214,Savage,"$4,140,502","$74,491",1.8%,"$4,066,011",98.2%
215,Arctic 2019 Re-release,"$4,124,015","$2,410,795",58.5%,"$1,713,220",41.5%
216,Junglee,"$4,033,587","$295,784",7.3%,"$3,737,803",92.7%
217,Lucifer,"$3,956,978",-,-,"$3,956,978",100%
218,Ride Your Wave,"$3,927,015","$332,432",8.5%,"$3,594,583",91.5%
219,Western Stars,"$3,681,681","$1,581,681",43%,"$2,100,000",57%
220,Badla,"$3,590,894","$1,861,000",51.8%,"$1,729,894",48.2%
221,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550","$3,531,094",99.8%,"$7,456",0.2%
222,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,531,837","$1,182,636",33.5%,"$2,349,201",66.5%
223,Faustina: Love and Mercy,"$3,498,887","$2,243,180",64.1%,"$1,255,707",35.9%
224,Maiden,"$3,495,241","$3,168,978",90.7%,"$326,263",9.3%
225,The Aeronauts,"$3,472,708",-,-,"$3,472,708",100%
226,Bacurau,"$3,463,910","$58,115",1.7%,"$3,405,795",98.3%
227,Midnight Diner,"$3,412,771","$18,555",0.5%,"$3,394,216",99.5%
228,Friends 25th: The One With The Anniversary,"$3,403,406","$2,884,827",84.8%,"$518,579",15.2%
229,Honey Boy,"$3,400,977","$3,012,615",88.6%,"$388,362",11.4%
230,The Hole in the Ground,"$3,373,474","$21,072",0.6%,"$3,352,402",99.4%
231,Echo in the Canyon,"$3,355,324","$3,355,324",100%,-,-
232,The Death & Life of John F. Donovan,"$3,326,364","$152,713",4.6%,"$3,173,651",95.4%
233,Chhichhore,"$3,307,350","$2,004,400",60.6%,"$1,302,950",39.4%
234,Marianne & Leonard: Words of Love,"$3,271,888","$1,012,034",30.9%,"$2,259,854",69.1%
235,Pilgrim's Progress,"$3,173,282","$1,294,596",40.8%,"$1,878,686",59.2%
236,All Is True,"$3,019,143","$1,200,481",39.8%,"$1,818,662",60.2%
237,After the Wedding,"$2,790,020","$1,574,258",56.4%,"$1,215,762",43.6%
238,Children of the Sea,"$2,789,668",-,-,"$2,789,668",100%
239,Diego Maradona,"$2,656,890",-,-,"$2,656,890",100%
240,Kinky Boots: The Musical,"$2,635,571","$900,451",34.2%,"$1,735,120",65.8%
241,Metallica & San Francisco Symphony - S&M2,"$2,582,847","$1,252,385",48.5%,"$1,330,462",51.5%
242,The Informer,"$2,579,970",-,-,"$2,579,970",100%
243,Spirits in the Forest,"$2,531,785","$704,744",27.8%,"$1,827,041",72.2%
244,The Art of Self-Defense,"$2,414,269","$2,410,914",99.9%,"$3,355",0.1%
245,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$2,403,030","$90,341",3.8%,"$2,312,689",96.2%
246,Piranhas,"$2,298,525","$23,494",1%,"$2,275,031",99%
247,3 from Hell,"$2,295,825","$2,172,949",94.6%,"$122,876",5.4%
248,Luce,"$2,268,204","$2,010,613",88.6%,"$257,591",11.4%
249,Gone with the Wind 2019 Re-release,"$2,176,120","$2,176,120",100%,-,-
250,The Wizard of Oz 2019 Re-release,"$2,097,514","$2,076,020",99%,"$21,494",1%
251,Waves,"$2,088,217","$1,658,790",79.4%,"$429,427",20.6%
252,42nd Street: The Musical,"$1,967,450","$187,440",9.5%,"$1,780,010",90.5%
253,Luka Chuppi,"$1,923,586","$1,042,905",54.2%,"$880,681",45.8%
254,Fantastic Fungi,"$1,864,309","$1,788,322",95.9%,"$75,987",4.1%
255,The Other Side of Heaven 2: Fire of Faith,"$1,807,216","$1,807,216",100%,-,-
256,Polaroid,"$1,772,204",-,-,"$1,772,204",100%
257,Invisible Life,"$1,759,150","$146,535",8.3%,"$1,612,615",91.7%
258,Matthias & Maxime,"$1,730,255","$374,739",21.7%,"$1,355,516",78.3%
259,The Souvenir,"$1,719,157","$1,036,737",60.3%,"$682,420",39.7%
260,La femme de mon frère,"$1,671,969","$539,524",32.3%,"$1,132,445",67.7%
261,Student of the Year 2,"$1,635,907","$778,566",47.6%,"$857,341",52.4%
262,Deerskin,"$1,615,875",-,-,"$1,615,875",100%
263,Monos,"$1,594,195","$406,473",25.5%,"$1,187,722",74.5%
264,The Crossing,"$1,589,212","$90,896",5.7%,"$1,498,316",94.3%
265,Beanpole,"$1,587,651","$196,258",12.4%,"$1,391,393",87.6%
266,Teen Spirit,"$1,573,601","$441,366",28%,"$1,132,235",72%
267,The Kid,"$1,553,483","$1,508,593",97.1%,"$44,890",2.9%
268,Tel Aviv on Fire,"$1,548,893","$506,145",32.7%,"$1,042,748",67.3%
269,The Chaperone,"$1,541,223","$600,654",39%,"$940,569",61%
270,De De Pyaar De,"$1,473,116","$425,934",28.9%,"$1,047,182",71.1%
271,It 2019 Re-release,"$1,414,696","$1,347,126",95.2%,"$67,570",4.8%
272,El Chicano,"$1,404,646","$1,400,603",99.7%,"$4,043",0.3%
273,For Sama,"$1,396,596","$43,796",3.1%,"$1,352,800",96.9%
274,Alien 2019 Re-release,"$1,356,259","$833,658",61.5%,"$522,601",38.5%
275,Roger Waters - Us + Them,"$1,294,480","$611,644",47.3%,"$682,836",52.7%
276,Fagara,"$1,265,949","$43,417",3.4%,"$1,222,532",96.6%
277,Batla House,"$1,264,337","$493,180",39%,"$771,157",61%
278,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552","$1,226,552",100%,-,-
279,Kingdom Men Rising,"$1,188,936","$1,188,936",100%,-,-
280,Los Domirriqueños 2,"$1,187,280","$1,187,280",100%,-,-
281,National Theater Live: Cyrano de Bergerac,"$1,173,512","$86,300",7.4%,"$1,087,212",92.6%
282,Honeyland,"$1,170,207","$815,082",69.7%,"$355,125",30.3%
283,The Goonies 2019 Re-release,"$1,148,405","$864,378",75.3%,"$284,027",24.7%
284,The Song of Names,"$1,138,700","$1,077,584",94.6%,"$61,116",5.4%
285,My Neighbor Totoro 2019 Re-release,"$1,105,703","$1,105,564",100%,$139,<0.1%
286,El Coyote,"$1,101,470","$1,101,470",100%,-,-
287,The Sky Is Pink,"$1,088,641","$652,592",59.9%,"$436,049",40.1%
288,Jesus Is King,"$1,082,629","$973,000",89.9%,"$109,629",10.1%
289,Mystify: Michael Hutchence,"$1,082,456","$289,573",26.8%,"$792,883",73.2%
290,Bennett's War,"$1,056,416","$1,056,416",100%,-,-
291,Noah,"$1,035,603","$1,035,603",100%,-,-
292,Cold Blood,"$1,009,888","$5,083",0.5%,"$1,004,805",99.5%
293,Kiki's Delivery Service 2019 Re-release,"$1,004,057","$1,004,057",100%,-,-
294,Photograph,"$996,171","$344,534",34.6%,"$651,637",65.4%
295,American Masters: Miles Davis: Birth of the Cool,"$984,499","$614,201",62.4%,"$370,298",37.6%
296,Rush: Cinema Strangiato 2019,"$960,073","$960,073",100%,-,-
297,The Fighting Preacher,"$954,641","$954,641",100%,-,-
298,Dirty Dancing 2019 Re-release,"$928,944","$622,968",67.1%,"$305,976",32.9%
299,Toni Morrison: The Pieces I Am,"$927,495","$903,018",97.4%,"$24,477",2.6%
300,The Game Changers,"$897,992","$739,711",82.4%,"$158,281",17.6%
301,The Nightingale,"$885,916","$400,209",45.2%,"$485,707",54.8%
302,The Hummingbird Project,"$876,980","$371,784",42.4%,"$505,196",57.6%
303,Between Me and My Mind,"$875,191","$875,191",100%,-,-
304,Howl's Moving Castle 2019 Re-release,"$865,647","$865,647",100%,-,-
305,Steel Magnolias 2019 Re-release,"$855,421","$855,421",100%,-,-
306,Joni 75: A Birthday Celebration,"$808,831","$752,205",93%,"$56,626",7%
307,The Whistlers,"$799,694","$55,608",7%,"$744,086",93%
308,Vita & Virginia,"$793,439","$42,741",5.4%,"$750,698",94.6%
309,Chonda Pierce: Unashamed,"$787,979","$787,979",100%,-,-
310,The Church,"$772,000","$772,000",100%,-,-
311,DanTDM Presents The Contest,"$765,363","$307,484",40.2%,"$457,879",59.8%
312,Patterns of Evidence: Moses Controversy,"$765,361","$765,361",100%,-,-
313,I Love Lucy: A Colorized Celebration,"$754,323","$754,323",100%,-,-
314,David Crosby: Remember My Name,"$732,793","$732,793",100%,-,-
315,Where's My Roy Cohn?,"$722,603","$705,274",97.6%,"$17,329",2.4%
316,Frankie,"$695,680","$171,781",24.7%,"$523,899",75.3%
317,The Least of These: The Graham Staines Story,"$695,164","$607,015",87.3%,"$88,149",12.7%
318,Raise Hell: The Life & Times of Molly Ivins,"$694,410","$694,410",100%,-,-
319,Romeo Akbar Walter,"$688,719","$236,299",34.3%,"$452,420",65.7%
320,Bethany Hamilton: Unstoppable,"$684,078","$590,671",86.3%,"$93,407",13.7%
321,Stockholm,"$665,527","$292,590",44%,"$372,937",56%
322,The Public,"$644,740","$573,503",89%,"$71,237",11%
323,Aquarela,"$638,907","$307,346",48.1%,"$331,561",51.9%
324,Asako I & II,"$627,102","$25,559",4.1%,"$601,543",95.9%
325,Give Me Liberty,"$624,445","$242,734",38.9%,"$381,711",61.1%
326,Nancy Drew and the Hidden Staircase,"$623,088","$623,088",100%,-,-
327,Killerman,"$614,366","$291,477",47.4%,"$322,889",52.6%
328,The Muppet Movie 2019 Re-release,"$610,475","$610,475",100%,-,-
329,Bolshoi Ballet: The Sleeping Beauty,"$606,872","$311,368",51.3%,"$295,504",48.7%
330,The Golden Glove,"$604,479","$6,160",1%,"$598,319",99%
331,To Kill a Mockingbird 2019 Re-release,"$592,237","$592,237",100%,-,-
332,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904","$378,405",63.9%,"$213,499",36.1%
333,The Wonderland,"$591,857","$50,876",8.6%,"$540,981",91.4%
